python : RiskManager initialized with 18 rules
En línea: 1 Carácter: 1
+ python tools/run_calibration_2B.py --mode quick --max-combinations 3  ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (RiskManager initialized with 18 rules:St 
   ring) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
2025-12-21 22:18:12,962 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,962 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,963 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,963 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,963 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,963 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,963 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,963 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,964 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,964 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,964 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,964 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,965 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,965 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,965 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,965 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,966 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,966 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,966 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,966 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,967 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,967 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,967 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,968 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,968 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,969 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,969 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,969 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,969 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,970 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,970 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,970 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,971 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,971 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,971 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,972 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,972 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,972 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,973 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,973 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,974 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,974 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,974 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,974 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,975 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,975 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,975 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,975 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,976 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,976 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,976 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,977 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,977 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,977 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,978 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,978 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,978 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,978 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,979 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,979 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,979 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,979 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,980 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,980 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,980 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,981 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,981 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,981 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,981 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,982 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,982 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,982 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,982 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,983 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,983 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,983 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,983 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,984 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,984 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,984 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,984 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,985 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,985 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,985 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,985 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,986 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,986 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,986 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,987 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,987 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,987 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,988 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,988 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,988 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,988 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,989 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,989 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,989 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,990 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,990 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,990 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,991 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,991 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,991 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,991 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,992 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,992 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,992 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,992 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,993 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,993 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,993 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,993 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,994 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
RiskManager initialized with 18 rules
2025-12-21 22:18:13,004 - INFO - RiskManager initialized with 18 rules
2025-12-21 22:18:13,005 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,006 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,006 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,291 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,291 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,291 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,292 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,292 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,292 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,293 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,293 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,293 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,293 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,294 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,294 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,294 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,294 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,294 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,295 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,295 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,295 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,295 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,295 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,296 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,296 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,296 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,296 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,297 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,297 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,297 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,297 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,297 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,298 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,298 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,298 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,298 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,298 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,299 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,299 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,299 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,299 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
